City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Trinidad,BO,2022-04-06 01:43:20,-14.8333,-64.9,75.07,89,44,1.39
155,Bengkulu,ID,2022-04-06 01:43:21,-3.8004,102.2655,77.88,78,100,2.37
156,Roma,US,2022-04-06 01:43:21,43.2128,-75.4557,53.74,47,0,9.22
157,Sisimiut,GL,2022-04-06 01:43:21,66.9395,-53.6735,25.07,95,99,2.95
158,Maniitsoq,GL,2022-04-06 01:43:22,65.4167,-52.9,26.64,92,98,4.18
159,Mehamn,NO,2022-04-06 01:43:22,71.0357,27.8492,29.23,84,100,26.75
160,Pingliang,CN,2022-04-06 01:43:22,35.5392,106.6861,66.22,11,0,7.29
161,Mahebourg,MU,2022-04-06 01:43:23,-20.4081,57.7,77.29,88,40,8.05
162,High Rock,BS,2022-04-06 01:43:23,26.6208,-78.2833,78.82,83,7,14.41
163,Wajir,KE,2022-04-06 01:43:23,1.7471,40.0573,78.03,68,12,13.44
164,Santo Angelo,BR,2022-04-06 01:43:24,-28.2992,-54.2631,70.12,88,0,3.44
165,Ilulissat,GL,2022-04-06 01:43:24,69.2167,-51.1,26.62,86,100,8.05
166,Tomatlan,MX,2022-04-06 01:43:24,19.9333,-105.25,66.49,83,3,3.53
167,Yulara,AU,2022-04-06 01:43:25,-25.2406,130.9889,76.84,47,11,12.66
168,Dig,IN,2022-04-06 01:43:25,27.4667,77.3333,83.89,7,88,3.58
169,Havoysund,NO,2022-04-06 01:43:25,70.9963,24.6622,32.23,75,100,31.32
170,Neiafu,TO,2022-04-06 01:43:26,-18.65,-173.9833,84.88,70,75,4.61
171,Ternate,ID,2022-04-06 01:43:26,0.8,127.4,82.02,78,38,9.86
172,Sulangan,PH,2022-04-06 01:43:26,11.1373,123.7228,81.0,80,100,13.78
173,Moreira Sales,BR,2022-04-06 01:42:49,-24.0622,-53.0069,70.75,91,12,3.89
174,Store Heddinge,DK,2022-04-06 01:43:27,55.3097,12.3889,34.92,77,100,6.44
175,Luderitz,NA,2022-04-06 01:43:27,-26.6481,15.1594,59.54,75,0,12.15
176,Souillac,MU,2022-04-06 01:43:27,-20.5167,57.5167,77.38,88,40,8.05
177,Homer,US,2022-04-06 01:43:28,59.6425,-151.5483,42.67,48,0,6.91
178,Ahipara,NZ,2022-04-06 01:43:28,-35.1667,173.1667,72.07,79,25,10.0
179,Imeni Poliny Osipenko,RU,2022-04-06 01:43:28,52.4201,136.4853,27.88,83,100,11.14
180,Lorengau,PG,2022-04-06 01:43:28,-2.0226,147.2712,80.83,83,100,11.61
181,Ntcheu,MW,2022-04-06 01:43:29,-14.8203,34.6359,63.36,93,94,0.65
182,Touros,BR,2022-04-06 01:43:29,-5.1989,-35.4608,78.21,84,2,9.53
183,Gazli,UZ,2022-04-06 01:43:29,40.1333,63.45,72.64,24,100,13.15
184,Kloulklubed,PW,2022-04-06 01:43:30,7.0419,134.2556,82.9,73,99,4.03
185,Oranjemund,NA,2022-04-06 01:44:30,-28.55,16.4333,58.64,89,1,7.38
186,Klaksvik,FO,2022-04-06 01:44:30,62.2266,-6.589,32.92,63,100,18.77
187,Pyay,MM,2022-04-06 01:44:31,18.8167,95.2167,88.38,47,85,3.62
188,Andenes,NO,2022-04-06 01:44:31,69.3143,16.1194,33.78,69,40,29.93
189,Pithoragarh,IN,2022-04-06 01:44:31,29.5833,80.2167,60.46,19,0,2.64
190,Pontes E Lacerda,BR,2022-04-06 01:44:31,-15.2261,-59.3353,72.09,86,5,2.91
191,Marsh Harbour,BS,2022-04-06 01:44:32,26.5412,-77.0636,76.51,85,7,14.63
192,Dongsheng,CN,2022-04-06 01:44:32,39.8161,109.9776,55.35,17,20,15.32
193,Iqaluit,CA,2022-04-06 01:44:33,63.7506,-68.5145,2.93,77,75,28.77
194,Hervey Bay,AU,2022-04-06 01:44:33,-25.2986,152.8535,82.02,63,2,11.99
195,Djibo,BF,2022-04-06 01:44:33,14.1022,-1.6306,91.04,24,57,6.51
196,Powell River,CA,2022-04-06 01:44:33,49.8496,-124.5361,51.44,50,20,11.5
197,Mersing,MY,2022-04-06 01:44:34,2.4312,103.8405,80.51,83,40,3.44
198,Kandava,LV,2022-04-06 01:44:34,57.0409,22.7747,28.13,85,53,9.95
