City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
156,Kahului,20.8947,-156.47,71.83,78,0,9.22,US,clear sky
157,Cascais,38.6979,-9.4215,77.97,53,20,9.22,PT,few clouds
158,Studina,43.9667,24.4167,71.62,31,12,2.71,RO,few clouds
159,Derzhavinsk,51.1,66.3167,64.53,40,75,11.14,KZ,broken clouds
160,Enniscorthy,52.5008,-6.5578,60.82,69,17,13.47,IE,few clouds
161,Xuddur,4.1213,43.8894,89.15,40,86,11.25,SO,overcast clouds
162,Haines Junction,60.7522,-137.5108,15.87,82,15,2.98,CA,few clouds
163,Kalmunai,7.4167,81.8167,81.64,84,11,12.75,LK,few clouds
164,Hami,42.8,93.45,47.14,31,58,11.9,CN,broken clouds
165,Porbandar,21.6422,69.6093,81.68,75,0,9.84,IN,clear sky
166,Half Moon Bay,37.4636,-122.4286,52.83,84,0,9.22,US,clear sky
167,Fairbanks,64.8378,-147.7164,25.14,50,0,13.8,US,clear sky
168,Atasu,48.6814,71.6433,61.83,22,1,8.95,KZ,clear sky
169,Bucerias,20.75,-105.3333,71.58,78,40,4.61,MX,scattered clouds
170,El Alto,-4.2714,-81.2147,74.86,67,57,9.73,PE,broken clouds
171,Nouadhibou,20.931,-17.0347,63.7,89,0,22.08,MR,clear sky
172,Vaini,-21.2,-175.2,78.96,89,40,5.75,TO,scattered clouds
173,Macenta,8.5435,-9.471,93.38,37,67,4.36,GN,broken clouds
174,Kozelsk,54.0375,35.7716,51.37,69,100,8.68,RU,overcast clouds
175,Rawson,-43.3002,-65.1023,73.45,27,0,13.85,AR,clear sky
176,Zhezkazgan,47.8043,67.7144,69.78,19,0,4.47,KZ,clear sky
177,Sept-Iles,50.2001,-66.3821,35.06,94,100,8.01,CA,light rain
178,Along,28.1667,94.7667,65.35,96,48,3.58,IN,scattered clouds
179,Aksu,41.1231,80.2644,68.22,16,7,7.02,CN,clear sky
180,Domoni,-12.2569,44.5319,81.88,86,52,6.51,KM,broken clouds
181,Geraldton,-28.7667,114.6,64.81,94,40,0.0,AU,scattered clouds
182,Careiro Da Varzea,-3.2003,-59.8119,84.81,80,100,1.16,BR,overcast clouds
183,Tomatlan,19.9333,-105.25,78.94,44,100,2.13,MX,overcast clouds
184,Port Hedland,-20.3167,118.5667,84.25,79,40,5.75,AU,scattered clouds
185,Buala,-8.145,159.5921,76.96,88,100,2.8,SB,moderate rain
186,Saint-Pierre,-21.3393,55.4781,78.48,72,75,20.71,RE,broken clouds
187,Port Said,31.2565,32.2841,64.02,67,36,14.29,EG,scattered clouds
188,Saint-Joseph,-21.3667,55.6167,77.38,81,47,15.99,RE,light rain
189,Natal,-5.795,-35.2094,88.45,62,40,8.05,BR,scattered clouds
190,Naron,43.5167,-8.1528,68.56,66,4,6.53,ES,clear sky
191,Coahuayana,18.7333,-103.6833,80.87,38,100,0.47,MX,overcast clouds
192,Springbok,-29.6643,17.8865,68.45,22,6,15.19,ZA,clear sky
193,Diebougou,10.9667,-3.25,101.52,24,100,3.31,BF,overcast clouds
194,Khasan,42.4308,130.6434,41.58,64,1,3.4,RU,clear sky
195,Kloulklubed,7.0419,134.2556,79.3,79,100,8.28,PW,overcast clouds
196,Broome,42.2506,-75.833,58.46,39,0,10.36,US,clear sky
197,Ingham,42.6,-84.3833,47.43,40,100,13.8,US,overcast clouds
198,Honiara,-9.4333,159.95,77.04,90,100,3.2,SB,overcast clouds
199,Isangel,-19.55,169.2667,79.3,84,75,6.89,VU,broken clouds
200,Zhigansk,66.7697,123.3711,10.9,93,66,14.65,RU,broken clouds
201,Taoudenni,22.6783,-3.9836,93.54,7,0,13.78,ML,clear sky
202,Cognac,45.5,-0.25,75.04,35,0,11.5,FR,clear sky
203,Itaqui,-29.1253,-56.5531,64.94,56,0,9.42,BR,clear sky
204,Chara,56.9064,118.2631,16.92,78,62,4.81,RU,broken clouds
205,Mumford,5.2618,-0.759,84.52,72,52,14.36,GH,broken clouds
206,Grand-Santi,4.25,-54.3833,79.99,80,100,3.78,GF,overcast clouds
207,Genhe,50.7833,121.5167,31.5,51,49,9.37,CN,scattered clouds
208,Abha,18.2164,42.5053,71.85,38,75,6.91,SA,broken clouds
209,Waddan,29.1614,16.139,94.48,9,0,15.19,LY,clear sky
210,Padang,-0.9492,100.3543,80.65,86,100,1.1,ID,moderate rain
211,Pevek,69.7008,170.3133,6.66,92,64,0.72,RU,broken clouds
212,Praya,14.9215,-23.5087,79.34,50,20,19.57,CV,few clouds
213,Bambous Virieux,-20.3428,57.7575,76.21,79,23,18.79,MU,light rain
214,Goderich,43.7501,-81.7165,47.91,68,78,18.7,CA,broken clouds
215,Kourou,5.1552,-52.6478,84.25,65,100,10.51,GF,light rain
216,Nicolas Bravo,18.45,-88.9167,80.08,70,80,5.06,MX,broken clouds
217,Yar-Sale,66.8333,70.8333,25.92,83,96,12.03,RU,overcast clouds
218,Te Anau,-45.4167,167.7167,56.26,77,98,11.12,NZ,overcast clouds
219,Rakaia,-43.75,172.0167,49.23,79,11,7.83,NZ,few clouds
220,Catole Do Rocha,-6.3439,-37.7467,89.69,48,13,4.76,BR,few clouds
221,Rocha,-34.4833,-54.3333,67.64,60,90,9.22,UY,overcast clouds
222,Sao Joao Da Barra,-21.6403,-41.0511,78.89,58,99,23.58,BR,overcast clouds
223,Aklavik,68.2191,-135.0107,-12.41,99,100,1.48,CA,overcast clouds
224,Kirovskiy,45.0917,133.5136,40.93,52,5,6.02,RU,clear sky
225,Cape Town,-33.9258,18.4232,68.11,49,0,13.0,ZA,clear sky
226,Mariestad,58.7097,13.8237,50.5,47,7,6.4,SE,clear sky
227,Ambon,-3.6954,128.1814,78.94,94,20,5.75,ID,few clouds
228,Chokurdakh,70.6333,147.9167,10.4,96,100,4.61,RU,light snow
229,Hasaki,35.7333,140.8333,46.8,89,100,31.14,JP,light rain
230,Andenes,69.3143,16.1194,40.98,60,20,9.22,NO,few clouds
231,Dunedin,-45.8742,170.5036,57.79,69,100,3.0,NZ,overcast clouds
232,Edeia,-17.3383,-49.9314,82.29,54,53,6.35,BR,broken clouds
233,Paamiut,61.994,-49.6678,21.58,72,51,13.35,GL,broken clouds
234,Ruidoso,33.3317,-105.673,65.05,9,0,17.27,US,clear sky
235,Alamos,27.0167,-108.9333,76.41,19,100,2.82,MX,overcast clouds
236,Cayenne,4.9333,-52.3333,84.24,8,75,13.8,GF,broken clouds
237,Vanimo,-2.6741,141.3028,79.56,86,82,4.25,PG,broken clouds
238,Sorland,67.667,12.6934,38.32,68,99,8.5,NO,overcast clouds
239,Ilulissat,69.2167,-51.1,-1.37,83,26,0.98,GL,scattered clouds
240,Ahipara,-35.1667,173.1667,55.67,87,95,4.79,NZ,overcast clouds
241,Montmagny,48.9734,2.3469,73.9,48,0,9.22,FR,clear sky
242,Olafsvik,64.8945,-23.7142,44.71,92,100,24.02,IS,light rain
243,Wajima,37.4,136.9,48.61,91,100,16.89,JP,overcast clouds
244,Puerto Colombia,10.9878,-74.9547,87.89,73,90,16.33,CO,overcast clouds
245,Soanierana Ivongo,-16.9167,49.5833,76.6,92,25,5.59,MG,light rain
246,Nikolskoye,59.7035,30.7861,42.69,88,100,7.94,RU,overcast clouds
247,Cabo San Lucas,22.8909,-109.9124,73.51,47,40,3.44,MX,scattered clouds
248,Medicine Hat,50.0501,-110.6683,22.21,77,99,2.89,CA,overcast clouds
249,Arinos,-15.9169,-46.1056,92.82,38,9,2.8,BR,clear sky
250,Hit,33.6416,42.8251,77.07,9,1,12.57,IQ,clear sky
251,Lumphat,13.4878,106.9816,76.68,89,72,4.34,KH,broken clouds
252,Amga,60.8953,131.9608,19.9,98,100,3.02,RU,overcast clouds
253,Faya,18.3851,42.4509,72.12,33,4,9.82,SA,clear sky
254,Rundu,-17.9333,19.7667,82.33,42,96,4.5,NA,overcast clouds
255,Dzaoudzi,-12.7887,45.2699,85.89,74,20,11.5,YT,few clouds
256,Pundaguitan,6.3711,126.1689,81.9,75,96,6.42,PH,overcast clouds
257,Coquimbo,-29.9533,-71.3436,60.53,67,75,3.44,CL,broken clouds
258,Pisco,-13.7,-76.2167,69.85,68,0,10.36,PE,clear sky
259,Galle,6.0367,80.217,81.99,76,5,4.05,LK,clear sky
260,Ola,59.5833,151.2833,21.63,87,100,3.22,RU,overcast clouds
261,Katobu,-4.9408,122.5276,76.12,94,41,3.65,ID,scattered clouds
262,San Patricio,28.017,-97.5169,77.09,92,100,7.18,US,overcast clouds
263,Carnarvon,-24.8667,113.6333,77.07,69,51,10.36,AU,broken clouds
264,Lere,10.387,8.5726,87.48,41,100,8.88,NG,light rain
265,Ostrovnoy,68.0531,39.5131,31.01,94,96,5.26,RU,overcast clouds
266,Egvekinot,66.3167,-179.1667,19.51,86,93,20.11,RU,overcast clouds
267,Boke,10.9409,-14.2967,102.04,19,7,8.34,GN,clear sky
268,Bam,29.106,58.357,87.19,16,89,11.61,IR,overcast clouds
269,Braganca,-1.0536,-46.7656,80.28,90,100,5.28,BR,overcast clouds
270,San Quintin,30.4833,-115.95,59.02,76,96,13.22,MX,overcast clouds
271,Cristalina,-16.7686,-47.6136,79.66,49,15,3.67,BR,few clouds
272,Muravlenko,63.7898,74.523,33.15,99,100,7.9,RU,snow
273,Bara,10.3744,10.7288,103.1,19,100,5.48,NG,overcast clouds
274,Lorengau,-2.0226,147.2712,81.97,78,43,6.24,PG,scattered clouds
275,Kayerkan,69.3497,87.7602,33.53,100,100,17.52,RU,light snow
276,Gachala,4.6924,-73.5204,68.59,80,100,3.96,CO,overcast clouds
277,Grindavik,63.8424,-22.4338,46.87,100,100,31.07,IS,light intensity drizzle
278,Guaratinga,-16.5667,-39.5667,95.56,39,76,3.8,BR,broken clouds
279,Nsanje,-16.92,35.262,86.27,65,9,4.99,MW,clear sky
280,Poum,-20.2333,164.0167,75.52,78,65,6.2,NC,broken clouds
281,General Pico,-35.6566,-63.7568,68.41,36,0,14.54,AR,clear sky
282,Tual,-5.6667,132.75,83.68,75,100,6.64,ID,overcast clouds
283,The Valley,18.217,-63.0578,82.09,69,40,17.27,AI,scattered clouds
284,Nyurba,63.2842,118.3319,19.36,92,97,9.46,RU,overcast clouds
285,Porto Novo,6.4965,2.6036,88.79,59,26,10.85,BJ,scattered clouds
286,Oum Hadjer,13.2954,19.6966,102.6,5,100,1.34,TD,overcast clouds
287,Ubinskoye,55.3068,79.6802,52.34,53,6,6.62,RU,clear sky
288,Kabompo,-13.5927,24.2008,72.82,86,100,3.69,ZM,light rain
289,Lagoa,39.05,-27.9833,58.77,78,72,20.42,PT,broken clouds
290,Ruwi,23.5996,58.5507,92.89,32,56,7.43,OM,broken clouds
291,Hisua,24.8333,85.4167,95.05,11,100,4.56,IN,overcast clouds
292,Port Lincoln,-34.7333,135.8667,65.44,82,0,10.65,AU,clear sky
293,Parkes,-33.1333,148.1833,57.34,76,91,4.29,AU,overcast clouds
294,Cabedelo,-6.9811,-34.8339,88.47,63,52,8.34,BR,broken clouds
295,Tuatapere,-46.1333,167.6833,59.16,65,92,10.2,NZ,light rain
296,Beipiao,41.7919,120.7792,49.21,19,0,6.24,CN,clear sky
297,Ca Mau,9.1769,105.15,81.16,82,98,4.18,VN,overcast clouds
298,Selu,19.4667,76.4667,96.37,13,95,6.46,IN,overcast clouds
299,Sasykoli,47.5515,46.9968,52.59,70,87,6.82,RU,overcast clouds
300,Takoradi,4.8845,-1.7554,84.7,70,100,11.97,GH,overcast clouds
301,Svetlyy,54.675,20.1347,42.85,91,100,17.52,RU,overcast clouds
302,Uvira,-3.4067,29.1458,77.65,82,100,5.14,CD,light rain
303,Belmonte,-15.8631,-38.8828,88.7,63,9,12.59,BR,clear sky
304,Karanja,20.4833,77.4833,95.36,13,90,8.63,IN,overcast clouds
305,Khatanga,71.9667,102.5,12.09,86,100,13.2,RU,overcast clouds
306,Moanda,-1.5575,13.2178,78.85,75,88,3.27,GA,light rain
307,Kieta,-6.2167,155.6333,78.93,83,100,2.51,PG,overcast clouds
308,Constitucion,-35.3333,-72.4167,59.18,67,83,3.91,CL,broken clouds
309,Kavieng,-2.5744,150.7967,82.15,78,52,9.75,PG,light rain
310,Sobolevo,54.4299,31.8996,47.88,93,100,4.47,RU,overcast clouds
311,Oranjemund,-28.55,16.4333,60.26,72,0,24.45,NA,clear sky
312,Marechal Floriano,-20.4128,-40.6831,75.45,72,87,8.93,BR,overcast clouds
313,Berlevag,70.8578,29.0864,33.6,89,81,11.68,NO,broken clouds
314,Mackenzie,55.2999,-123.1698,21.7,69,100,3.87,CA,overcast clouds
315,Palana,59.1167,159.9667,20.79,95,100,8.19,RU,light snow
316,Okha,53.5739,142.9478,24.4,89,22,6.93,RU,few clouds
317,Rudnogorsk,57.2639,103.7519,30.45,97,100,2.28,RU,overcast clouds
318,Matagami,49.7502,-77.6328,37.51,56,75,20.71,CA,broken clouds
319,Khuzhir,53.1939,107.3397,34.09,79,100,6.24,RU,overcast clouds
320,Srednekolymsk,67.45,153.6833,10.89,97,100,3.13,RU,overcast clouds
321,Atar,20.5169,-13.0499,97.2,5,0,8.57,MR,clear sky
322,Palmares Do Sul,-30.2578,-50.5097,62.94,76,100,10.67,BR,overcast clouds
323,Jardim,-21.4803,-56.1381,76.77,42,0,3.76,BR,clear sky
324,Denpasar,-8.65,115.2167,78.46,94,75,4.61,ID,broken clouds
325,Trabzon,40.9167,39.8333,44.69,81,40,4.61,TR,scattered clouds
326,Tahoua,14.8888,5.2692,104.11,14,92,11.92,NE,overcast clouds
327,Walvis Bay,-22.9575,14.5053,62.1,63,2,18.05,NA,clear sky
328,Jacareacanga,-6.2222,-57.7528,82.36,84,100,2.42,BR,overcast clouds
329,Alausi,-2.2,-78.8333,56.32,76,96,4.07,EC,overcast clouds
330,Treinta Y Tres,-33.2333,-54.3833,68.63,55,57,6.11,UY,broken clouds
331,Hamilton,39.1834,-84.5333,64.42,36,0,14.97,US,clear sky
332,Alofi,-19.0595,-169.9187,80.82,73,7,7.87,NU,clear sky
333,Bosaso,11.2842,49.1816,83.53,65,89,5.26,SO,overcast clouds
334,Faanui,-16.4833,-151.75,81.36,72,7,15.73,PF,light rain
335,Pashiya,58.4324,58.2562,36.81,97,100,2.93,RU,overcast clouds
336,Nichinan,31.6,131.3667,62.29,87,100,8.9,JP,overcast clouds
337,Acapulco,16.8634,-99.8901,82.22,69,40,4.61,MX,scattered clouds
338,Biak,-0.9131,122.8766,76.86,86,90,1.57,ID,overcast clouds
339,Casalnuovo Di Napoli,40.9092,14.3457,78.17,34,0,6.91,IT,clear sky
340,Kuandian,40.7286,124.7847,44.17,34,0,1.14,CN,clear sky
341,Shenzhen,22.5455,114.0683,76.98,84,27,12.97,CN,scattered clouds
342,Aswan,24.0934,32.907,96.04,4,0,14.45,EG,clear sky
343,Makakilo City,21.3469,-158.0858,71.92,70,0,9.22,US,clear sky
344,Tadine,-21.55,167.8833,72.68,92,95,4.54,NC,overcast clouds
345,Pangnirtung,66.1451,-65.7125,3.7,84,13,3.76,CA,few clouds
