City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Cristalina,BR,79.66,few clouds,-16.7686,-47.6136,HOTEL TOPAZIO
274,Lorengau,PG,81.97,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
279,Nsanje,MW,86.27,clear sky,-16.92,35.262,Nsanje Discovery Lodge
280,Poum,NC,75.52,broken clouds,-20.2333,164.0167,
282,Tual,ID,83.68,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
283,The Valley,AI,82.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
285,Porto Novo,BJ,88.79,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
294,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
297,Ca Mau,VN,81.16,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
300,Takoradi,GH,84.7,overcast clouds,4.8845,-1.7554,Raybow International Hotel
302,Uvira,CD,77.65,light rain,-3.4067,29.1458,Hotel Suzana
303,Belmonte,BR,88.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
306,Moanda,GA,78.85,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
307,Kieta,PG,78.93,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
309,Kavieng,PG,82.15,light rain,-2.5744,150.7967,Nusa Island Retreat
312,Marechal Floriano,BR,75.45,overcast clouds,-20.4128,-40.6831,Pousada Recanto Primata
323,Jardim,BR,76.77,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
324,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
328,Jacareacanga,BR,82.36,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
332,Alofi,NU,80.82,clear sky,-19.0595,-169.9187,Taloa Heights
333,Bosaso,SO,83.53,overcast clouds,11.2842,49.1816,Red Sea Hotel
334,Faanui,PF,81.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
337,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
338,Biak,ID,76.86,overcast clouds,-0.9131,122.8766,Penginapan Kim
339,Casalnuovo Di Napoli,IT,78.17,clear sky,40.9092,14.3457,Hotel San Mauro
341,Shenzhen,CN,76.98,scattered clouds,22.5455,114.0683,Grand Skylight
346,Meulaboh,ID,79.39,overcast clouds,4.1363,96.1285,Kost Pria
347,Sampit,ID,75.43,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
353,Inirida,CO,82.44,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
359,Bontang,ID,82.2,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
363,Luanda,AO,82.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
366,Elat,IL,85.84,haze,29.5581,34.9482,Club Hotel Eilat
368,Balabac,PH,80.69,clear sky,7.9868,117.0645,Batalla’s Lodging House
369,Mandera,KE,88.16,overcast clouds,3.9366,41.867,Hiren Hotel Mandera
370,Igunga,TZ,77.04,light rain,-4.2833,33.8833,Victoria Lodge
371,Harlingen,US,79.05,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
372,Diamantino,BR,75.24,overcast clouds,-14.4086,-56.4461,Hotel Delta
373,Celestun,MX,83.14,broken clouds,20.8667,-90.4,Posada Lilia
374,Gigmoto,PH,77.86,clear sky,13.7796,124.39,Cj's Travellers Inn
377,Beloha,MG,82.76,overcast clouds,-25.1667,45.05,
385,Sabzevar,IR,78.78,overcast clouds,36.2126,57.6819,پزشکی قانونی سبزوار
386,Madimba,TZ,81.68,broken clouds,-10.4,40.3333,
389,Dawlatabad,AF,80.47,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
390,Doembang Nangbuat,TH,88.05,light rain,14.8333,100.1,ธาราริน วิลล่า
393,Qarqin,AF,85.95,clear sky,37.4185,66.0436,
395,San Pedro,PH,82.35,few clouds,14.35,121.0167,Esquivel's Garden And Resort
400,Trelew,AR,75.92,clear sky,-43.249,-65.3051,Hotel Touring Club
401,Port Keats,AU,81.5,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
402,Itaituba,BR,81.68,overcast clouds,-4.2761,-55.9836,Hotel Campos
403,Corrente,BR,88.38,scattered clouds,-3.7367,-43.3394,Chapadinhense Hotel
407,Les Cayes,HT,81.27,few clouds,18.2,-73.75,Villa Orphee
408,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
416,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
417,Zaragoza,ES,80.85,clear sky,41.6561,-0.8773,INNSiDE Zaragoza
426,Agadir,MA,81.05,few clouds,30.4202,-9.5982,Iberostar Founty Beach
427,Buchanan,LR,85.57,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
437,Faridpur,BD,85.3,scattered clouds,23.6,89.8333,Progoti Muslim hostel
439,Karratha,AU,84.78,few clouds,-20.7377,116.8463,ibis Styles Karratha
441,Morondava,MG,83.91,clear sky,-20.2833,44.2833,La Case Bambou
443,Mogadishu,SO,83.3,overcast clouds,2.0371,45.3438,Hotel Juba
446,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
